RICO_scannet_1_2024_04_24_22_01_38 [107] (27/465): loss = 0.11099924892187119, rgb_loss = 0.06264054775238037, eikonal_loss = 0.047550756484270096, bg_render_loss = 0.0, lop_loss = 3.524469093463267e-06, lrd_loss = 0.0, semantic_loss = 0.00392110226675868, smooth_loss = 0.0, depth_loss = 0.12189773470163345, normal_l1 = 0.555391788482666, normal_cos = 0.1172921285033226, psnr = 20.66292381286621
RICO_scannet_1_2024_04_24_22_01_38 [107] (28/465): loss = 0.09946706891059875, rgb_loss = 0.06572698056697845, eikonal_loss = 0.027283817529678345, bg_render_loss = 0.0, lop_loss = 4.280019857105799e-05, lrd_loss = 0.0003334730281494558, semantic_loss = 0.03894941508769989, smooth_loss = 0.0, depth_loss = 0.10177581757307053, normal_l1 = 0.3745068311691284, normal_cos = 0.037547387182712555, psnr = 18.437335968017578
RICO_scannet_1_2024_04_24_22_01_38 [107] (29/465): loss = 0.05585183575749397, rgb_loss = 0.03393510729074478, eikonal_loss = 0.029345622286200523, bg_render_loss = 0.0, lop_loss = 8.981134305940941e-05, lrd_loss = 0.0005069062463007867, semantic_loss = 0.03546898812055588, smooth_loss = 0.0, depth_loss = 0.07888633012771606, normal_l1 = 0.19568833708763123, normal_cos = 0.025959355756640434, psnr = 24.713159561157227
RICO_scannet_1_2024_04_24_22_01_38 [107] (30/465): loss = 0.10701380670070648, rgb_loss = 0.06443314254283905, eikonal_loss = 0.0413053072988987, bg_render_loss = 0.0, lop_loss = 4.9518243031343445e-05, lrd_loss = 0.0, semantic_loss = 0.1377435326576233, smooth_loss = 0.0, depth_loss = 0.08198347687721252, normal_l1 = 0.4264419972896576, normal_cos = 0.10960496962070465, psnr = 20.30506134033203
RICO_scannet_1_2024_04_24_22_01_38 [107] (31/465): loss = 0.061541106551885605, rgb_loss = 0.03785578906536102, eikonal_loss = 0.0364743247628212, bg_render_loss = 0.0, lop_loss = 4.4835851440439e-05, lrd_loss = 0.00011133591033285484, semantic_loss = 0.015272528864443302, smooth_loss = 0.0, depth_loss = 0.07181643694639206, normal_l1 = 0.25387731194496155, normal_cos = 0.027191344648599625, psnr = 24.32749366760254
RICO_scannet_1_2024_04_24_22_01_38 [107] (32/465): loss = 0.046423595398664474, rgb_loss = 0.025067051872611046, eikonal_loss = 0.024172605946660042, bg_render_loss = 0.0, lop_loss = 3.383305374882184e-05, lrd_loss = 9.181236237054691e-05, semantic_loss = 0.05901148542761803, smooth_loss = 0.0, depth_loss = 0.06621482223272324, normal_l1 = 0.1891360878944397, normal_cos = 0.03393201157450676, psnr = 29.35550308227539
RICO_scannet_1_2024_04_24_22_01_38 [107] (33/465): loss = 0.07999048382043839, rgb_loss = 0.04652581736445427, eikonal_loss = 0.03318885713815689, bg_render_loss = 0.0, lop_loss = 9.584178769728169e-05, lrd_loss = 2.3353059077635407e-06, semantic_loss = 0.10444317758083344, smooth_loss = 0.0, depth_loss = 0.10277633368968964, normal_l1 = 0.2999074161052704, normal_cos = 0.04689336568117142, psnr = 22.829143524169922
RICO_scannet_1_2024_04_24_22_01_38 [107] (34/465): loss = 0.11425928771495819, rgb_loss = 0.07945815473794937, eikonal_loss = 0.049834877252578735, bg_render_loss = 0.0, lop_loss = 3.874252433888614e-05, lrd_loss = 1.5681222009789053e-07, semantic_loss = 0.0671849474310875, smooth_loss = 0.0, depth_loss = 0.09073826670646667, normal_l1 = 0.3476404845714569, normal_cos = 0.06324514001607895, psnr = 18.99175262451172
RICO_scannet_1_2024_04_24_22_01_38 [107] (35/465): loss = 0.04068361967802048, rgb_loss = 0.026757707819342613, eikonal_loss = 0.046825096011161804, bg_render_loss = 0.0, lop_loss = 3.2207124604610726e-05, lrd_loss = 0.0, semantic_loss = 0.0036932448856532574, smooth_loss = 0.0, depth_loss = 0.03624578192830086, normal_l1 = 0.14578063786029816, normal_cos = 0.010401928797364235, psnr = 26.174043655395508
RICO_scannet_1_2024_04_24_22_01_38 [107] (36/465): loss = 0.06129537522792816, rgb_loss = 0.03905025124549866, eikonal_loss = 0.03208873048424721, bg_render_loss = 0.0, lop_loss = 0.0001174024582724087, lrd_loss = 0.000712576147634536, semantic_loss = 0.08441594243049622, smooth_loss = 0.0, depth_loss = 0.04982541874051094, normal_l1 = 0.2153768539428711, normal_cos = 0.028593406081199646, psnr = 23.878707885742188
RICO_scannet_1_2024_04_24_22_01_38 [107] (37/465): loss = 0.0505819097161293, rgb_loss = 0.019765427336096764, eikonal_loss = 0.02644050121307373, bg_render_loss = 0.0, lop_loss = 0.00010385169298388064, lrd_loss = 5.681737820850685e-05, semantic_loss = 0.06342236697673798, smooth_loss = 0.0, depth_loss = 0.09477702528238297, normal_l1 = 0.3141835927963257, normal_cos = 0.03509232774376869, psnr = 30.539173126220703
RICO_scannet_1_2024_04_24_22_01_38 [107] (38/465): loss = 0.06819765269756317, rgb_loss = 0.04125744849443436, eikonal_loss = 0.04024506360292435, bg_render_loss = 0.0, lop_loss = 0.0001058900888892822, lrd_loss = 0.00015809593605808914, semantic_loss = 0.1277586966753006, smooth_loss = 0.0, depth_loss = 0.069191575050354, normal_l1 = 0.22692158818244934, normal_cos = 0.030519327148795128, psnr = 20.813518524169922
RICO_scannet_1_2024_04_24_22_01_38 [107] (39/465): loss = 0.11654825508594513, rgb_loss = 0.07866781949996948, eikonal_loss = 0.05476563423871994, bg_render_loss = 0.0, lop_loss = 1.128491567214951e-05, lrd_loss = 0.0, semantic_loss = 0.027928845956921577, smooth_loss = 0.0, depth_loss = 0.06200471520423889, normal_l1 = 0.45320403575897217, normal_cos = 0.10326407849788666, psnr = 18.290124893188477
RICO_scannet_1_2024_04_24_22_01_38 [107] (40/465): loss = 0.07871033251285553, rgb_loss = 0.036197952926158905, eikonal_loss = 0.023513449355959892, bg_render_loss = 0.0, lop_loss = 2.00026133825304e-05, lrd_loss = 0.0, semantic_loss = 0.04446301609277725, smooth_loss = 0.0, depth_loss = 0.17296624183654785, normal_l1 = 0.39314571022987366, normal_cos = 0.0520455464720726, psnr = 25.017803192138672
